id,_name,_prefix,_province_id,sync_words
689,Ba Bể,Huyện,62,"ba be,huyen ba be"
690,Bắc Kạn,Thị xã,62,"bac kan,thi xa bac kan"
691,Bạch Thông,Huyện,62,"bach thong,huyen bach thong"
692,Chợ Đồn,Huyện,62,"cho don,huyen cho don"
693,Chợ Mới,Huyện,62,"cho moi,huyen cho moi"
694,Na Rì,Huyện,62,"na ri,huyen na ri"
695,Ngân Sơn,Huyện,62,"ngan son,huyen ngan son"
696,Pác Nặm,Huyện,62,"pac nam,huyen pac nam"
697,Bảo Lạc,Huyện,63,"bao lac,huyen bao lac"
698,Bảo Lâm,Huyện,63,"bao lam,huyen bao lam"
699,Cao Bằng,Thị xã,63,"cao bang,thi xa cao bang"
700,Hạ Lang,Huyện,63,"ha lang,huyen ha lang"
701,Hà Quảng,Huyện,63,"ha quang,huyen ha quang"
702,Hòa An,Huyện,63,"hoa an,huyen hoa an"
703,Nguyên Bình,Huyện,63,"nguyen binh,huyen nguyen binh"
704,Phục Hòa,Huyện,63,"phuc hoa,huyen phuc hoa"
705,Quảng Uyên,Huyện,63,"quang uyen,huyen quang uyen"
706,Thạch An,Huyện,63,"thach an,huyen thach an"
707,Thông Nông,Huyện,63,"thong nong,huyen thong nong"
708,Trà Lĩnh,Huyện,63,"tra linh,huyen tra linh"
709,Trùng Khánh,Huyện,63,"trung khanh,huyen trung khanh"
